"1.NP", , ,"0/-/-","","","","","Auto"
 , ,"Pokoj_sever tlacitko 2 LED","1/4/3","","","","DPST-5-5","Auto"
 , ,"Pokoj_sever tlacitko 1 LED","1/4/4","","","","DPST-5-5","Auto"
 , ,"Pokoj_jih tlacitko 1 LED","1/4/16","","","","DPST-5-5","Auto"
 , ,"Pokoj_jih tlacitko 2 LED","1/4/17","","","","DPST-5-5","Auto"
 , ,"Pokoj_jih tlacitko 3 LED","1/4/18","","","","DPST-5-5","Auto"
 , ,"Pokoj_jih tlacitko 4 LED","1/4/19","","","","DPST-5-5","Auto"
 , ,"Koupelna_patro tlacitko 1 LED","1/4/29","","","","DPST-5-5","Auto"
 , ,"Koupelna_patro tlacitko 2 LED","1/4/30","","","","DPST-5-5","Auto"
 , ,"Koupelna_patro tlacitko 3 LED","1/4/31","","","","DPST-5-5","Auto"
 , ,"Koupelna_patro tlacitko 4 LED","1/4/32","","","","DPST-5-5","Auto"
 , ,"Kancelar tlacitko 1 LED","1/4/47","","","","DPST-5-5","Auto"
 , ,"Kancelar tlacitko 2 LED","1/4/48","","","","DPST-5-5","Auto"
 , ,"Kancelar tlacitko 3 LED","1/4/49","","","","DPST-5-5","Auto"
 , ,"Kancelar tlacitko 4 LED","1/4/50","","","","DPST-5-5","Auto"
